"exp","k0","k6"
3.77315577716387,3.49899154009912,3.69061696343427
3.76976283426653,3.49895293678766,3.68966629144199
3.76639619351657,3.4974242235697,3.68364746384669
3.76305545025954,3.49481093792101,3.67843096684587
3.75974020910806,3.49455777489732,3.67801724906835
3.75645008366101,3.48589475845055,3.67793025026358
3.75318469623325,3.48527473200777,3.67678761212457
3.74994367759541,3.48330718111154,3.67544183295586
3.74672666672342,3.48315131224928,3.67012950277719
3.74353331055707,3.48061519506354,3.66765220711268
3.74036326376756,3.46964715087935,3.66223844075034
3.73721618853337,3.46366046544994,3.66216956139761
3.73409175432422,3.45846638146457,3.66056947624572
3.73098963769274,3.45657922905487,3.6521047901097
3.72790952207353,3.45589216412815,3.64957977567956
3.72485109758931,3.44596312327547,3.6450200062964
3.72181406086383,3.44579800796445,3.64324189683584
3.71879811484127,3.43502691846835,3.64277082884913
3.71580296861191,3.42907213815586,3.64205966600638
3.71282833724371,3.42301785872574,3.64190771189525
3.70987394161966,3.42217345871925,3.62449352073768
3.70693950828061,3.41789217617395,3.62408454300899
3.70402476927339,3.41521549161387,3.62317831719917
3.70112946200398,3.41375845572627,3.619071580394
3.69825332909552,3.41345595641198,3.61567992010581
3.69539611825104,3.40937108706133,3.61554344244638
3.69255758212064,3.40753740224923,3.61312466899791
3.68973747817299,3.4004798270823,3.61269782428193
3.68693556857098,3.40028779533986,3.61268174707588
3.68415162005137,3.39886656861605,3.61135992871473
3.68138540380822,3.39781612837023,3.60887251914737
3.67863669538007,3.39749143207385,3.60864195824683
3.67590527454064,3.3912228882626,3.60747557708364
3.67319092519295,3.38338819049673,3.60477771565562
3.67049343526672,3.38200116997369,3.60459622734338
3.66781259661895,3.37747435632887,3.593570612479
3.66514820493754,3.37666973711055,3.590615023119
3.66250005964785,3.37303919854157,3.58807618275582
3.6598679638221,3.37296289114012,3.58743799444349
3.6572517240915,3.37262868663272,3.5873077885334
3.65465115056098,3.36117082216029,3.58708127700684
3.65206605672648,3.36088426970625,3.58194777970867
3.64949625939474,3.36025565258628,3.58106930155086
3.64694157860532,3.36023653900361,3.58036658390928
3.64440183755505,3.35957759643276,3.58005952197838
3.64187686252455,3.35811331289499,3.57892632537575
3.63936648280695,3.3521964088577,3.57610378843818
3.63687053063864,3.35057539994415,3.5758697939292
3.634388841132,3.3496234333565,3.57131887281181
3.63192125221,3.34778448766031,3.56982413943526
3.62946760454273,3.34689966995092,3.56660299900856
3.62702774148563,3.3461536052996,3.55487118992694
3.6246015090195,3.34386059950236,3.55452163312168
3.62218875569216,3.34362755561004,3.55229038855465
3.61978933256171,3.34245303072617,3.55202957000363
3.61740309314135,3.3422968298966,3.55035081289341
3.61502989334573,3.34163479929285,3.54710080795743
3.61266959143876,3.33944180769842,3.54703270463074
3.61032204798278,3.33666921072242,3.54629258788198
3.60798712578913,3.3348405980097,3.54358332628491
3.6056646898701,3.32857668761949,3.53770396797927
3.60335460739203,3.32708556207763,3.53732782615793
3.60105674762975,3.32571426935773,3.53726704309165
3.5987709819222,3.32064124526364,3.53599684272324
3.5964971836292,3.3182793361069,3.53574485260829
3.59423522808932,3.31658248520755,3.53404127714362
3.59198499257891,3.31523732845923,3.53224072648385
3.58974635627211,3.30710936326682,3.53209946684071
3.58751920020195,3.30535655204293,3.52966040662564
3.5853034072224,3.30259762346213,3.52919521406854
3.58309886197136,3.29704372007014,3.52600347090253
3.58090545083471,3.29642612919417,3.52321630024854
3.57872306191107,3.29525475888878,3.52102690272083
3.57655158497764,3.29142442242665,3.51948995051912
3.57439091145671,3.2903582660552,3.51941186599531
3.57224093438315,3.28529436321694,3.51566543724035
3.5701015483726,3.28494135060714,3.51557264379258
3.56797264959048,3.28368237214679,3.51451288599723
3.56585413572175,3.28093225917145,3.51420266134255
3.56374590594142,3.28084768346019,3.51008761934371
3.56164786088573,3.27061542376544,3.51006225385896
3.55955990262406,3.26883214985237,3.50730075666779
3.55748193463153,3.2675635312561,3.50355816785235
3.55541386176215,3.26687990611312,3.50331554156421
3.55335559022278,3.26257180211036,3.4952476663416
3.55130702754751,3.25783776096379,3.49281192102927
3.5492680825728,3.25517403472048,3.49149153596664
3.5472386654131,3.25485985185299,3.4876675276032
3.54521868743709,3.25271649857142,3.486279441517
3.54320806124446,3.2500670398759,3.48581658815115
3.54120670064318,3.24962437852413,3.48560726005056
3.5392145206274,3.24786427537006,3.4840020648767
3.5372314373557,3.24712895343996,3.48168274579561
3.53525736812998,3.24604370426845,3.48126485939019
3.53329223137475,3.24599590885657,3.47728995763333
3.53133594661689,3.24460526448537,3.47193873690556
3.52938843446589,3.24364956978466,3.4709241432575
3.5274496165945,3.24317904660351,3.46787092956733
3.52551941571986,3.24097276039722,3.46632573944118
3.52359775558499,3.24068033299223,3.46250387296867
3.52168456094071,3.23386684839682,3.4616150288716
3.51977975752797,3.23303998101221,3.45912772125909
3.51788327206056,3.22860962151396,3.45787104529635
3.51599503220817,3.22741231430526,3.4561356724857
3.51411496657987,3.22724725371696,3.45014043073155
3.51224300470787,3.22705159135433,3.44927690962698
3.51037907703171,3.22365737772202,3.44646677818676
3.50852311488274,3.22207628410659,3.44618256092876
3.50667505046893,3.22105821027882,3.44590128888917
3.50483481686001,3.21989149953579,3.44581614131343
3.50300234797296,3.21621289245013,3.44570140890452
3.50117757855771,3.21414016171336,3.44492259096109
3.49936044418326,3.2109918333632,3.44310403638024
3.49755088122399,3.2105695759433,3.44265302417214
3.49574882684631,3.20767580116274,3.43828710779675
3.49395421899556,3.20684397533623,3.43699354975198
3.49216699638319,3.2021963154495,3.43630409436387
3.4903870984742,3.20208845512985,3.43506911775465
3.48861446547485,3.20178188556773,3.43490545593195
3.48684903832059,3.19683806051533,3.43358697471661
3.48509075866425,3.19670210754201,3.43129301559284
3.48333956886449,3.19669082974767,3.4276383819757
3.48159541197443,3.19634893590609,3.42655400753779
3.47985823173058,3.1950880395644,3.42106196790752
3.47812797254189,3.19448063031256,3.42052438767487
3.47640457947916,3.19356916438325,3.42010227619618
3.47468799826449,3.19061457960741,3.4199591722934
3.47297817526106,3.18883002365482,3.41971416080327
3.47127505746311,3.18691207384339,3.4178702744102
3.46957859248601,3.1859087114709,3.41491436160609
3.46788872855663,3.18357434404401,3.41391068927059
3.46620541450388,3.18321432918295,3.41326455441332
3.46452859974936,3.18059856661321,3.41107444966795
3.4628582342983,3.17691367126342,3.40983857888697
3.46119426873055,3.17379670541966,3.40615180561378
3.45953665419187,3.17211335599349,3.4054113032496
3.45788534238528,3.17052803927285,3.40395050868481
3.45624028556264,3.16989385931412,3.40119944750518
3.45460143651635,3.1696925453676,3.40078710399519
3.45296874857125,3.16867329824567,3.39980821218356
3.45134217557659,3.16699210340174,3.39785631775111
3.44972167189827,3.16530846329298,3.39522223384083
3.44810719241108,3.16263430551197,3.39203156449391
3.44649869249125,3.16165582989957,3.39119096493389
3.44489612800897,3.16133327502715,3.38862457759443
3.44329945532118,3.15939590208909,3.38794607516603
3.44170863126439,3.15903634260099,3.38438426900715
3.44012361314773,3.15747076901504,3.38380716604307
3.43854435874604,3.15548546350798,3.38088596675533
3.43697082629312,3.15267110997182,3.37969271620405
3.43540297447515,3.14835958214661,3.37964978140995
3.43384076242409,3.1483098193796,3.378989137198
3.4322841497114,3.14498038445324,3.37894987749503
3.43073309634166,3.14344710524086,3.37750746302642
3.42918756274648,3.14053755671852,3.37714836746864
3.42764750977838,3.13937561295222,3.37579206236382
3.42611289870492,3.13382950525686,3.37380785152068
3.42458369120275,3.13308062680565,3.37163016785673
3.42305984935197,3.13187270436947,3.3714643911831
3.42154133563043,3.13112037033994,3.37042637006696
3.42002811290819,3.12975065681126,3.36900353841187
3.41852014444209,3.12932710398707,3.36299343626011
3.41701739387039,3.12822088084103,3.36294018642442
3.41551982520749,3.12820965846441,3.3608160949804
3.41402740283881,3.12685997392607,3.35704321018121
3.41254009151564,3.12646698442466,3.35683448712353
3.41105785635021,3.12611924821685,3.35632196709239
3.40958066281072,3.12474868303691,3.35483346186258
3.40810847671657,3.12400062336918,3.35338133856084
3.40664126423356,3.12338022426898,3.35125738080657
3.40517899186927,3.12257431947478,3.35053423155931
3.40372162646845,3.12241966815483,3.34958150612175
3.40226913520851,3.12210840150403,3.34914264798046
3.40082148559508,3.12081221284051,3.34892789095439
